Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Ben Bu Cihana Sigmazam,"Action, Drama",2022–,"'Oktay Kaynarca', 'Ebru Özkan', 'Ali Seçkiner Alici', 'Ragip Savas'",2,50,4.8,Güzel Adamlar,"'Mustafa Sevki Dogan', 'Baran Ozcaylan'","'Oktay Kaynarca', 'Oktay Kaynarca'",120,0
 Destan,"Action, History, War",2021–2022,"'Ebru Sahin', 'Edip Tepeli', 'Selim Bayraktar', 'Deniz Barut'",1,28,7.3,Bozdag Film,"'Fethi Bayram', 'Metin Günay'","'Nehir Erdem', 'Ayse Ferda Eryilmaz'",130,1
 Wounded Love,"Drama, History, Romance",2016–2018,"'Halit Ergenç', 'Bergüzar Korel', 'Boran Kuzum', 'Pinar Deniz'",2,60,8.4,O3 Medya,"'Burak Arliel', 'Durul Taylan'","'Gamze Arslan', 'Ali Aydin'",120,1
 Alef,"Action, Crime, Drama",2020–2022,"'Kenan Imirzalioglu', 'Taner Ölmez', 'Ahmet Mümtaz Taylan', 'Aybüke Pusat'",2,16,7.9,May Productions,"'Emin Alper', 'Gökhan Tiryaki'","'Emre Kayis', 'Emre Kayis'",60,1
 Valley of the Wolves: Ambush,"Action, Crime, Drama",2007–2016,"'Necati Sasmaz', 'Erhan Ufak', 'Cahit Kayaoglu', 'Adnan Erdogan'",10,300,6.2,Pana Film,"'Onur Tan', 'Sadullah Sentürk'","'Ozan Aksungur', 'Ozan Ayaz'",120,1
 Mahkum,"Crime, Drama",2021–2022,"'Onur Tuna', 'Ismail Hacioglu', 'Melike Ipek Yalova', 'Hakan Karsak'",2,31,7.5,MF Yapim,"'Volkan Kocatürk', 'Özgür Sevimli'","'Choi Chang-Hwan', 'Soo-jin Choi'",120,1
 Ramo,"Action, Drama",2020–2021,"'Murat Yildirim', 'Esra Bilgiç', 'Sacide Tasaner', 'Ilker Aksum'",2,40,7.0,"'BKM', 'Besiktas Kültür Merkezi (BKM)'","'Çagatay Tosun', 'Yagiz Alp Akaydin'","'Deniz Karaoglu', 'Toprak Karaoglu'",120,1
 Kirli Sepeti,"Comedy, Drama",2023–,"'Ayça Bingöl', 'Ceren Moray', 'Cansu Tosun', 'Serkay Tütüncü'",1,11,6.0,"'BKM', 'Besiktas Kültür Merkezi (BKM)'",'Ece Erdek Koçoglu',"'Merve Girgin', 'Merve Girgin'",61,0
 Kalp Yarasi,Drama,2021–2022,"'Gökhan Alkan', 'Yagmur Tanrisevsin', 'Merve Çagiran', 'Toprak Can Adigüzel'",1,32,6.3,Süreç Film,'Yildiz Hülya Bilban',"'Turkuler Ozgul Akad', 'Mahir Erol'",140,1
 Afili Ask,"Comedy, Romance",2019–2020,"'Caglar Ertugrul', 'Burcu Özberk', 'Benian Dönmez', 'Nese Baykent'",1,38,6.7,"'ARC Film', 'Arc Film'","'Serdar Gözelekli', 'Senem Zencir'","'Ilker Arslan', 'Baris Erdogan'",120,1
 Ömer,Drama,2023–,"'Selahattin Pasali', 'Gökçe Bahadir', 'Baris Falay', 'Merve Dizdar'",2,36,5.8,OGM Pictures,'Cem Karci',"'Gülizar Irmak', 'Ori Elon'",120,0
 Respect,"Crime, Drama, Thriller",2020–,"'Nejat Isler', 'Boran Kuzum', 'Miray Daner', 'Erkan Can'",3,17,7.5,Inter Medya,"'Ali Taner Baltaci', 'Ender Mihlar'",'Ercan Mehmet Erdem',60,0
 A Miracle,Drama,2019–2021,"'Taner Ölmez', 'Onur Tuna', 'Sinem Ünsal', 'Hazal Türesan'",2,64,7.1,MF Yapim,"'Aytac Cicek', 'Yusuf Pirhasan'","'Pinar Bulut', 'Pinar Bulut'",120,1
 Adini Feriha Koydum,"Drama, Romance",2011–2012,"'Çagatay Ulusoy', 'Deniz Ugur', 'Yusuf Akgün', 'Feyza Civelek'",3,80,5.7,Medyapim,"'Baris Yös', 'Merve Girgin'","'Melis Civelek', 'Melis Civelek'",120,1
 Woman,Drama,2017–2020,"'Özge Özpirinçci', 'Seray Kaya', 'Kubra Suzgun', 'Ali Semi Sefil'",3,81,6.8,"'MF Yapim', 'Medyapim'","'Nadim Güç', 'Merve Girgin'","'Hande Altayli', 'Can Cengiz'",120,1
 Payitaht Abdülhamid,"Action, Drama, History",2017–2021,"'Bülent Inal', 'Bahadir Yenisehirlioglu', 'Hakan Boyav', 'Duygu Gürcan'",5,154,5.0,"'Es Yapim', 'ES Film', 'Es Film'","'Emre Konuk', 'Dogan Ümit Karaca'","'Hamza Akyildiz', 'Osman Bodur'",120,1
 The Bad Penny,"Action, Crime, Drama",2021–2022,"'Uraz Kaygilaroglu', 'Ekin Koç', 'Aslihan Malbora', 'Mustafa Kirantepe'",1,29,6.8,Ay Yapim,"'Sinan Ozturk', 'Barbaros Bilgin'","'Eset Akcilad', 'Eset Akcilad'",120,1
 Revenge,"Drama, Mystery, Thriller",2013–2014,"'Beren Saat', 'Mert Firat', 'Arzu Gamze Kilinç', 'Zafer Algöz'",2,44,5.9,D Productions,"'Çagri Vila Lostuvali', 'Mesude Erarslan'","'Mike Kelley', 'Mike Kelley'",90,1
 Farewell Letter,Drama,2023,"'Rabia Soyturk', 'Emre Kivilcim', 'Hazar Motan', 'Ümmü Putgül'",1,24,6.2,Most Production,'Deniz Çelebi',"'Deniz Akcay Katiksiz', 'Deniz Akcay Katiksiz'",61,1
 Graveyard,"Crime, Drama, Mystery",2022,"'Birce Akalay', 'Olgun Toker', 'Sehsuvar Aktas', 'Berna Öztürk'",1,4,7.8,"'ANS Production', 'Evrensel Filimcilik'",'Abdullah Oguz',"'Onur Böber', 'Evren Oguz'",105,1
 The Ambassador's Daughter,"Action, Crime, Drama",2019–2021,"'Engin Akyürek', 'Erdal Küçükkömürcü', 'Konca Cilasun', 'Dogukan Polat'",2,52,5.9,O3 Medya,'Emre Kabakusak',"'Nehir Erdem', 'Nehir Erdem'",150,1
 Yemin,Drama,2019–2022,"'Gokberk Demirci', 'Can Verel', 'Esra Çoban', 'Gül Arcan'",4,504,6.0,Karamel Yapim,"'Serkan Mut', 'Ayhan Özen'","'Nazmiye Yilmaz', 'Basak Yazi Odasi'",90,1
 The Red Room,Drama,2020–2022,"'Binnur Kaya', 'Gulcin Kultur Sahin', 'Baran Can Eraslan', 'Sezin Bozaci'",2,61,7.4,"'OG Medya', 'OGM Pictures'","'Cem Karci', 'Basak Soysal'","'Gülseren Budayicioglu', 'Gülseren Budayicioglu'",120,1
 Wishing Stone,"Drama, History",2023–,"'Salih Bademci', 'Hazal Subasi', 'Ozan Dolunay', 'Özge Özberk'",1,13,6.2,Pastel Film,"'Altan Dönmez', 'Volkan Kocatürk'","'Direncan Babacan', 'Ali Ercivan'",61,0
 Yesilçam,"Drama, History, Romance",2021,"'Çagatay Ulusoy', 'Afra Saraçoglu', 'Selin Sekerci', 'Yetkin Dikinciler'",2,20,7.8,Sunset Film,'Çagan Irmak',"'Levent Cantek', 'Volkan Sümbül'",60,1
 In Love Again,"Comedy, Romance",2015–2016,"'Özge Özpirinçci', 'Bugra Gülsoy', 'Tamer Levent', 'Tülin Oral'",2,59,7.1,Süreç Film,"'Ersoy Güler', 'Celil Murat Sari'","'Selin Arapkirli', 'Ramazan Demirli'",120,1
 Chrysalis,Drama,2021–2023,"'Burcu Biricik', 'Selma Ergeç', 'Feyyaz Serifoglu', 'Enis Arikan'",3,82,5.6,"'Kanal D', 'OGM Pictures'",'Nadim Güç',"'Yesim Aslan', 'Gülseren Budayicioglu'",120,1
 Halka,"Action, Crime, Drama",2019,"'Serkan Çayoglu', 'Hande Erçel', 'Kaan Yildirim', 'Hazal Subasi'",1,19,8.7,"'ES Film', 'Es Film', 'Es Yapim'","'Volkan Kocatürk', 'Mestan Sakalli'","'Selim Bener', 'Ali Demirel'",120,1
 My Home My Destiny,Drama,2019–2021,"'Demet Özdemir', 'Zuhal Gencer', 'Senan Kara', 'Fatih Koyunoglu'",2,43,6.0,"'OG Medya', 'OGM Pictures'","'Cagri Bayrak', 'Murat Öztürk'","'Gülseren Budayicioglu', 'Seray Sahiner'",120,1
 Darmaduman,Drama,2022,"'Mert Yazicioglu', 'Hafsanur Sancaktutan', 'Aslihan Malbora', 'Aytaç Sasmaz'",1,9,6.5,Ay Yapim,"'Elif Turgay', 'Deniz Yorulmazer'","'Damla Serim', 'Berrin Tekdemir'",120,1
 Twist of Fate,"Comedy, Drama",2021,"'Aytaç Sasmaz', 'Cemre Baysel', 'Idris Nebi Taskan', 'Asli Sümen'",1,20,6.9,ARC Film,'Serdar Gözelekli',"'Erkan Birgören', 'Tuna Kiygi'",61,1
 Sarmasik Zamani,"Drama, Thriller",2023,"'Onur Tuna', 'Burçin Terzioglu', 'Hazal Türesan', 'Yigit Kirazci'",1,16,7.4,Gold Film,'Gökçen Usta',"'Rabia Koca', 'Savas Ecevit Korkmaz'",61,1
 Flames of Fate,Drama,2020–2021,"'Demet Evgar', 'Hazar Ergüçlü', 'Dilan Çiçek Deniz', 'Zuhal Olcay'",1,28,6.9,Ay Yapim,'Ahmet Katiksiz','Burcu Görgün',120,1
 Wolf,"Action, Thriller, War",2018,"'Ahu Türkpençe', 'Serkan Çayoglu', 'Emir Benderlioglu', 'Murat Arkin'",1,6,8.1,"'CaglarArts Entertainment', 'Insignia Productions'","'Can Emre', 'Cem Özüduru'","'Alper Caglar', 'Emre Sirel'",80,1
 Mrs,Drama,2017–2018,"'Nazan Kesal', 'Deniz Baysal', 'Caglar Ertugrul', 'Mahir Günsiray'",2,50,6.9,Avsar Film,"'Alptekin Bozkurt', 'Gökçen Usta'",'Sirma Yanik',140,1
 Under the Trees,Romance,2005–2007,"'Nur Sürer', 'Bülent Inal', 'Sinan Tuzcu', 'Tuba Büyüküstün'",2,40,7.2,Avsar Film,'Aydin Bulut',"'Neslihan Eyüboglu', 'Ayse Teker'",85,1
 Life Song,"Drama, Family, Romance",2016–2017,"'Birkan Sokullu', 'Burcu Biricik', 'Tayanç Ayaydin', 'Ecem Özkaya'",2,57,7.8,Most Production,'Cem Karci',"'Melih Cam', 'Mahinur Ergun'",120,1
 Uyanis: Büyük Selcuklu,"Drama, History, War",2020–2022,"'Bugra Gülsoy', 'Ekin Koç', 'Hatice Sendil', 'Gürkan Uygun'",2,35,7.9,Akli Film,"'Sedat Inci', 'Emre Konuk'","'Hasan Erimez', 'Hasan Erimez'",120,1
 Trap,Drama,2022–2023,"'Ilayda Çevik', 'Akin Akinözü', 'Bensu Soral', 'Yagiz Can Konyali'",1,29,7.0,"'Acun Medya', 'Fabrika Yapim'","'Aytac Cicek', 'Ilker Can Karagulle'","'Eylem Canpolat', 'Eylem Canpolat'",150,1
 Call My Manager,"Comedy, Drama",2020–2021,"'Baris Falay', 'Canan Erguder', 'Fatih Artman', 'Ahsen Eroglu'",1,45,7.2,Ay Yapim,"'Ali Bilgin', 'Deniz Çelebi'","'Ekin Atalar', 'Yesim Citak'",120,1
 Time Goes By,"Adventure, Drama, Family",2010–2013,"'Ayça Bingöl', 'Yildiz Çagri Atiksoy', 'Aras Bulut Iynemli', 'Mete Horozoglu'",3,120,7.0,D Production,"'Zeynep Gunay Tan', 'Özlem Dündar'","'Coskun Irmak', 'Coskun Irmak'",120,1
 In Spite of Love,"Comedy, Romance",2015–2016,"'Açelya Topaloglu', 'Can Yaman', 'Nilay Duru', 'Eren Vurdem'",1,32,5.8,Sinegraf,"'Yusuf Ömer Sinav', 'Rasit Çelikezer'","'Nehir Erdem', 'Ayse Ferda Eryilmaz'",120,1
 Karagül,Drama,2013–2016,"'Ece Uslu', 'Mesut Akusta', 'Hülya Duyar', 'Hilal Altinbilek'",4,125,5.2,Avsar Film,"'Günay Günaydin', 'Murat Saraçoglu'","'Erkan Birgören', 'Erkan Birgören'",100,1
 Heartbeat,"Drama, Romance",2017–2018,"'Gökhan Alkan', 'Öykü Karayel', 'Burak Ceylan', 'Burcu Türünz'",1,28,6.7,MF Yapim,"'Aytac Cicek', 'Volkan Keskin'","'Myung Hee Ha', 'Makbule Kosif'",120,1
 Be My Sunshine,"Comedy, Romance",2021,"'Ayça Aysin Turan', 'Alp Navruz', 'Nihan Büyükagaç', 'Ipek Tenolcay'",1,25,6.9,Ay Yapim,"'Ali Bilgin', 'Özgür Sevimli'","'Aksel Bonfil', 'Yesim Citak'",61,1
 The Stickman,"Drama, Romance",2022–2023,"'Engin Altan Düzyatan', 'Elçin Sangu', 'Elcin Afacan', 'Ali Yogurtcuoglu'",2,30,4.3,OGM Pictures,"'Çagri Vila Lostuvali', 'Yagiz Alp Akaydin'","'Gülseren Budayicioglu', 'Deniz Madanoglu'",107,1
 Seni Çok Bekledim,"Drama, Romance",2021,"'Özcan Deniz', 'Irem Helvacioglu', 'Mustafa Ugurlu', 'Caner Sahin'",1,13,4.9,"'DNZ Film', 'Skala Yapim'","'Elif Akarsu Polat', 'Yasemin Türkmenli'","'Pervin Bozan', 'Özcan Deniz'",120,1
 Yaprak Dökümü,Drama,2006–2010,"'Halil Ergün', 'Güven Hokna', 'Bennu Yildirimlar', 'Gökçe Bahadir'",5,174,5.8,Ay Yapim,'Mesude Erarslan',"'Melek Gençoglu', 'Resat Nuri Güntekin'",90,1
 Kardes Payi,"Comedy, Drama, Family",2014–2015,"'Ahmet Kural', 'Murat Cemcir', 'Seda Bakan', 'Sinasi Yurtsever'",2,35,8.6,Ay Yapim,'Selçuk Aydemir',"'Selçuk Aydemir', 'Onay Durgun'",70,1
 Ruhun Duymaz,"Comedy, Drama",2023,"'Burcu Özberk', 'Sükrü Özyildiz', 'Tugrul Tulek', 'Asli Sümen'",1,9,7.2,O3 Medya,'Aytac Cicek',"'Cenk Bogatur', 'Deniz Dargi'",61,1
 Genis Aile,"Comedy, Romance",2009–2011,"'Ufuk Özkan', 'Rasim Öztekin', 'Mine Teber', 'Firat Tanis'",3,108,7.1,D Production,'Ömer Ugur',"'Cüneyt Inay', 'Kamuran Süner'",90,1
 Senden Daha Güzel,"Comedy, Drama, Romance",2022,"'Cemre Baysel', 'Burak Çelik', 'Berat Yenilmez', 'Cihan Ercan'",1,14,6.7,Gold Film,"'Ketche', 'Ersoy Güler'","'Ayse Kutlu', 'Tilbe Cana Inan'",120,1
 1001 Nights,Drama,2006–2009,"'Halit Ergenç', 'Bergüzar Korel', 'Tardu Flordun', 'Ceyda Düvenci'",3,90,5.3,TMC Film,'Kudret Sabanci',"'Mehmet Bilal', 'Murat Lütfü'",80,1
 Glass Ceilings,"Comedy, Drama, Romance",2021,"'Bensu Soral', 'Kubilay Aka', 'Utku Ates', 'Beril Kayar'",1,8,5.8,Ojo Pictures,'Fehmi Öztürk',"'Meriç Acemi', 'Duygu Yildirim'",150,1
 Istanbullu Gelin,"Comedy, Drama, Romance",2017–2019,"'Özcan Deniz', 'Asli Enver', 'Ipek Bilgin', 'Salih Bademci'",3,87,7.1,O3 Medya,"'Zeynep Gunay Tan', 'Deniz Kolos'","'Ali Aydin', 'Ali Aydin'",120,1
 Zemheri,Drama,2020,"'Ayça Aysin Turan', 'Alperen Duymaz', 'Caner Cindoruk', 'Hazal Filiz Küçükköse'",1,10,7.1,Ay Yapim,'Hilal Saral','Sema Ergenekon',120,1
 Kübra,"Drama, Thriller",2024–,"'Çagatay Ulusoy', 'Ahsen Eroglu', 'Aslihan Malbora', 'Ahmet Mümtaz Taylan'",1,1,5.7,OGM Pictures,"'Durul Taylan', 'Yagmur Taylan'","'Afsin Kum', 'Rana Mamatlioglu'",61,0
 Benim Adim Melek,Drama,2019–2021,"'Nehir Erdogan', 'Kutsi', 'Mustafa Mert Koç', 'Rabia Soyturk'",2,68,5.4,US Yapim,"'Cem Akyoldas', 'Celil Murat Sari'","'Cem Akyoldas', 'Cem Akyoldas'",120,1
 Let Life Come as It Knows,Drama,2022–2023,"'Ertan Saban', 'Özge Özberk', 'Devrim Özkan', 'Nilsu Berfin Aktas'",1,41,6.8,BKM,'Altan Dönmez',"'Gani Müjde', 'Emre Bülbül'",120,1
 Three Sisters,Drama,2022–,"'Berker Güven', 'Veda Yurtsever Ipek', 'Anil Tetik', 'Reha Özcan'",3,102,4.4,Süreç Film,'Eda Teksöz',"'Iclal Aydin', 'Iclal Aydin'",150,0
 Marriage by Surprise,"Drama, Romance",2016–2017,"'Can Yaman', 'Cengiz Bozkurt', 'Altan Erkekli', 'Bülent Sakrak'",1,40,5.5,BSK Yapim,'Metin Balekoglu',"'Basak Angigün', 'Alphan Dikmen'",120,1
 Love Is in the Air,Romance,2010–2013,"'Birce Akalay', 'Murat Ünalmis', 'Kanbolat Görkem Arslan', 'Levend Yilmaz'",3,122,4.1,Avsar Film,"'Canan Çelik', 'Atil Inaç'","'Eylem Canpolat', 'Sema Ergenekon'",90,1
 Cruel Istanbul,Drama,2019–2020,"'Fikret Kuskan', 'Deniz Ugur', 'Ozan Dolunay', 'Sera Kutlubey'",2,39,5.8,Avsar Film,"'Cevdet Mercan', 'Senol Sönmez'","'Sirma Yanik', 'Sirma Yanik'",120,1
 Aldatmak,Drama,2022–,"'Vahide Perçin', 'Ercan Kesal', 'Mustafa Ugurlu', 'Cem Bender'",2,47,5.7,Tims & B Productions,'Murat Saraçoglu',"'Yildiz Tunç', 'Elif Umut'",150,0
 The Yard,"Crime, Drama",2018–2019,"'Demet Evgar', 'Ceren Moray', 'Nursel Köse', 'Çagdas Onur Öztürk'",3,54,7.2,Limon Film,"'Yüksel Aksu', 'Hülya Gezer'","'Özge Aras', 'Seda Çakir Avunduk'",120,1
 Iyi Günde Kötü Günde,"Comedy, Romance",2020,"'Elçin Sangu', 'Ozan Dolunay', 'Yasemin Kay Allen', 'Senay Gürler'",1,6,6.1,O3 Medya,"'Metin Balekoglu', 'Baris Ercetin'","'Aksel Bonfil', 'Pelin Karamehmetoglu'",120,1
 Fatma,"Crime, Drama, Thriller",2021–,"'Burcu Biricik', 'Ugur Yücel', 'Mehmet Yilmaz Ak', 'Gulcin Kultur Sahin'",2,7,7.4,Idea Film Creatives,"'Ozgur Onurme', 'Özer Feyzioglu'","'Ozgur Onurme', 'Ozgur Onurme'",40,0
 Ariza,"Action, Drama",2020–2021,"'Tolga Saritas', 'Ayça Aysin Turan', 'Ahmet Mümtaz Taylan', 'Olgun Toker'",1,30,6.3,O3 Medya,"'Recai Karagöz', 'Levent Kar'","'Erkan Ersezer', 'Çagla Kizilelma'",120,1
 EGO - Erkege Güven Olmaz,Drama,2023,"'Alperen Duymaz', 'Melisa Pamuk', 'Ahmet Kayakesen', 'Rüya Demirbulut'",1,13,6.2,Pastel Film,"'Senol Sönmez', 'Doga Can Anafarta'","'Han Ji-hoon', 'Ozer Cetinel'",61,1
 Back Streets,"Action, Adventure, Comedy",2006–,"'Zafer Ergin', 'Özgür Ozan', 'Sevket Çoruh', 'Kerimhan Duman'",18,645,3.6,"'D Media', 'Erler Film'","'Orhan Oguz', 'Baran Ozcaylan'","'Ozan Emre Yurdakul', 'Ozan Emre Yurdakul'",120,0
 Sen Anlat Karadeniz,Drama,2018–2019,"'Ulas Tuna Astepe', 'Irem Helvacioglu', 'Sinan Tuzcu', 'Öykü Gürman'",3,64,5.8,Sinegraf,"'Yusuf Ömer Sinav', 'Veli Çelik'","'Erkan Birgören', 'Deniz Cigal'",150,1
 Kördügüm,Drama,2016,"'Ibrahim Celikkol', 'Alican Yücesoy', 'Belçim Bilgin', 'Rojda Demirer'",2,31,6.6,Endemol Shine Turkey,"'Gökçen Usta', 'Deniz Yorulmazer'","'Yildiz Tunç', 'Yigit Okan'",140,1
" You've Made Your Bed, Now Lie in It","Comedy, Drama, Family",2023–,"'Hakan Yilmaz', 'Selen Soyder', 'Enes Kocak', 'Eylül Tumbar'",1,26,6.4,NGM,"'Inci Balabanoglu Ahiska', 'Emre Kabakusak'","'Samed Aslan', 'Belgin Dogu'",61,0
 Suskunlar,"Action, Crime, Drama",2012,"'Murat Yildirim', 'Asli Enver', 'Sarp Akkaya', 'Güven Murat Akpinar'",2,28,8.3,TIMS Productions,"'Çagatay Tosun', 'Çagri Vila Lostuvali'","'Pinar Bulut', 'Pinar Bulut'",90,1
 Her Yerde Sen,"Comedy, Romance",2019,"'Furkan Andic', 'Aybüke Pusat', 'Ali Yagci', 'Aslihan Malbora'",1,23,7.2,Karga Seven Pictures,"'Ender Mihlar', 'Volkan Özgümüs'","'Deniz Yesilgun', 'Esra Çetek Yilmazer'",120,1
 Vermem Seni Ellere,Romance,2023,"'Emre Bey', 'Buse Meral', 'Fatih Al', 'Filiz Ahmet'",1,9,4.1,"'D Productions', 'Kanal D'",'Ali Balci',"'Samed Aslan', 'Damla Güçer'",61,1
 Search,"Drama, Mystery",2023–,"'Asli Enver', 'Mehmet Günsür', 'Defne Kayalar', 'Ipek Türktan'",1,6,4.6,Ay Yapim,'Emin Alper',"'Nuket Bicakci', 'Özlem Yücel'",60,0
 Kara Tahta,Drama,2022,"'Furkan Andic', 'Miray Daner', 'Cengiz Bozkurt', 'Selen Uçer'",1,20,5.7,US Yapim,"'Ender Mihlar', 'Volkan Özgümüs'","'Erkan Birgören', 'Erkan Birgören'",120,1
 Iyilik,Drama,2022–2023,"'Hatice Sendil', 'Ismail Demirci', 'Sera Kutlubey', 'Perihan Savas'",2,27,5.4,Medyapim,'Murat Öztürk',"'Özge Aras', 'Uygar Cengiz'",120,1
 Kader Baglari,"Drama, Romance",2023,"'Ayça Aysin Turan', 'Serkan Çayoglu', 'Arzu Gamze Kilinç', 'Alptekin Serdengeçti'",1,5,4.6,Süreç Film,"'Tairi Benal', 'Ersoy Güler'","'Turkuler Ozgul Akad', 'Turkuler Ozgul Akad'",61,1
 An Anatolian Tale,"Comedy, Drama",2020–,"'Berk Atan', 'Semih Ertürk', 'Erdal Cindoruk', 'Ege Aydan'",4,121,7.8,Köprü Film,'Yahya Samanci',"'Mustafa Becit', 'Ali Asaf Elmas'",120,0
 Yilan Hikayesi,"Action, Adventure, Comedy",1999–2002,"'Memet Ali Alabora', 'Ayten Gökçer', 'Nail Kirmizigül', 'Süleyman Turan'",3,90,6.6,Yagmur Ajans,"'Yüksel Aksu', 'Nihat Durak'",'Tayfun Güneyer',55,1
 Güllerin Savasi,Drama,2014–2016,"'Damla Sönmez', 'Canan Erguder', 'Baris Kilic', 'Sercan Badur'",2,68,4.9,Medyapim,'Emre Kabakusak',"'Melis Civelek', 'Meryem Gür'",120,1
 Broken Pieces,"Crime, Drama",2014–2017,"'Erkan Petekkaya', 'Ebru Özkan', 'Tolga Tekin', 'Nursel Köse'",3,98,5.9,Endemol Shine Turkey,"'Altan Dönmez', 'Özlem Dündar'","'Derem Ciray', 'Bilal Kivrak'",120,1
 Jet Sosyete,"Comedy, Family",2018–2020,"'Gülse Birsel', 'Derya Karadas', 'Cengiz Bozkurt', 'Sarp Apak'",3,59,6.4,"'BKM', 'Besiktas Kültür Merkezi (BKM)'",'Hakan Algül','Gülse Birsel',120,1
 Falcon Crest,"Action, Drama, Romance",2018,"'Zerrin Tekindor', 'Ebru Özkan', 'Boran Kuzum', 'Aybüke Pusat'",1,6,7.2,"'ATV', 'Ay Yapim', 'Warner Bros.'",'Hilal Saral',"'Melek Gençoglu', 'Earl Hamner Jr.'",120,1
 Savasci,"Action, Drama, War",2017–2021,"'Murat Serezli', 'Ali Tarik Findik', 'Serhat Nalbantoglu', 'Ersin Olgaç'",5,109,5.6,Limon Film,"'Volkan Kocatürk', 'Dogan Ümit Karaca'","'Süleyman Çobanoglu', 'Süleyman Çobanoglu'",120,1
 Meryem,Drama,2017–2018,"'Furkan Andic', 'Ayça Aysin Turan', 'Cemal Toktas', 'Açelya Topaloglu'",1,30,6.7,TMC Film,"'Baris Ercetin', 'Feride Kaytan'","'Meryem Gültabak', 'Gülhis Kutu'",120,1
 Ikinci Bahar,"Comedy, Drama, Family",1998–2001,"'Türkan Soray', 'Sener Sen', 'Nedim Saban', 'Güven Hokna'",3,37,8.7,Erler Film,"'Orhan Oguz', 'Turkan Derya'","'Sulhi Dölek', 'Nilgün Önes'",48,1
 Sila,"Drama, Mystery, Romance",2006–2008,"'Mehmet Akif Alakurt', 'Cansu Dere', 'Menderes Samancilar', 'Zeynep Eronat'",3,94,5.3,FM Yapim,"'Gül Oguz', 'Yasin Uslu'","'Gül Oguz', 'Bektas Topaloglu'",70,1
 Sifir Bir,"Action, Crime, Drama",2016–2019,"'Savas Satis', 'Burak Sahin', 'Onur Akbay', 'Bertan Uçar'",6,43,8.0,"'Dogru Isler Yapim', 'Sifir Bir Yapim'",'Kadri Beran Taskin',"'Dogal Deniz', 'Engin Yilmaz'",45,1
 Bandits,"Comedy, Crime",2014–2015,"'Sebnem Bozoklu', 'Erkan Kolçak Köstendil', 'Kaan Yildirim', 'Can Bartu Aslan'",1,39,7.3,D Production,'Murat Onbul',"'Ugras Günes', 'Ugras Günes'",120,1
 Gülperi,Drama,2018–2019,"'Nurgül Yesilçay', 'Timuçin Esen', 'Tarik Pabuccuoglu', 'Ece Sükan'",1,30,5.6,Tims & B Productions,"'Cem Karci', 'Senol Sönmez'","'Eylem Canpolat', 'Eylem Canpolat'",120,1
 Barbaros: Sword of the Mediterranean,"Action, Adventure, History",2021–2022,"'Engin Altan Düzyatan', 'Ulas Tuna Astepe', 'Caner Topcu', 'Gökhan Gencebay'",1,32,7.4,"'ES Film', 'TRT'","'Berat Özdogan', 'Dogan Ümit Karaca'","'Ibrahim Ethem Arslan', 'Mustafa Burak Dogu'",120,1
 Yabanci Damat,"Comedy, Drama, Romance",2004–2007,"'Nehir Erdogan', 'Özgür Çevik', 'Binnur Kaya', 'Arif Erkin Güzelbeyoglu'",3,106,6.8,Erler Film,"'Durul Taylan', 'Yagmur Taylan'","'Güliz Kucur', 'Sulhi Dölek'",60,1
 Baba,Drama,2022,"'Haluk Bilginer', 'Tolga Saritas', 'Ayda Aksel', 'Özge Yagiz'",2,30,6.3,"'Ay Yapim', 'Ay Yapim'",'Cagri Bayrak',"'Ekin Atalar', 'Ekin Atalar'",120,1
 4N1K,"Comedy, Romance",2018–2019,"'Gözde Mutluer', 'Burak Yörük', 'Sina Ozer', 'Atakan Hosgören'",2,25,5.1,Fabrika Yapim,"'Hamdi Can Teker', 'Murat Onbul'","'Büsra Yilmaz', 'Onur Dur'",100,1
 Never Give Up,Drama,2015–2016,"'Tolgahan Sayisman', 'Amine Gulse', 'Safak Pekdemir', 'Aysegül Günay'",3,59,5.4,Gold Film,"'Aysun Akyüz', 'Nihat Durak'","'Melis Civelek', 'Sirma Yanik'",61,1
 Ufak Tefek Cinayetler,"Action, Crime, Drama",2017–2018,"'Gökçe Bahadir', 'Aslihan Gürbüz', 'Mert Firat', 'Yildiray Sahinler'",2,45,7.3,Ay Yapim,"'Ali Bilgin', 'Deniz Yorulmazer'","'Meriç Acemi', 'Meriç Acemi'",120,1
 50M2,"Comedy, Drama, Thriller",2021,"'Engin Öztürk', 'Kürsat Alniaçik', 'Cengiz Bozkurt', 'Aybüke Pusat'",1,8,6.9,"'BKM', 'Netflix Studios'","'Burak Aksak', 'Selçuk Aydemir'",'Burak Aksak',45,1
 New Life,Drama,2020,"'Serkan Çayoglu', 'Melisa Pamuk', 'Tayanç Ayaydin', 'Nilperi Sahinkaya'",1,9,7.2,Ojo Pictures,"'Basak Soysal', 'Cem Özüduru'","'Elif Usman', 'Ozan Agaç'",120,1
 Etkileyici,"Crime, Drama",2021–2023,"'Aslihan Malbora', 'Mehmetcan Mincinozlu', 'Ali Barkin', 'Ilker Kizmaz'",2,20,6.7,TR 40 33 Productions,'Hande Türkel',"'Murat Kepez', 'Zeynep Kocak'",30,1
